,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
246,1390,apartment,Barracas,Capital Federal,"-34.6402642651,-58.378639445",330000.0,330000.0,130.0,130.0,2538.4615384615386,,0,14,1
247,1391,apartment,Almagro,Capital Federal,"-34.6110583,-58.4201892",73038.0,73038.0,38.0,34.0,2148.1764705882347,,0,11,1
248,1392,apartment,Almagro,Capital Federal,"-34.5978473909,-58.4260256868",79712.0,79712.0,44.0,38.0,2097.684210526316,,0,11,1
249,1397,apartment,Balvanera,Capital Federal,"-34.6031328142,-58.3946243302",148000.0,148000.0,80.0,89.0,1662.9213483146066,,0,8,1
250,1405,apartment,Villa Devoto,Capital Federal,"-34.5939503,-58.5034408",85000.0,85000.0,43.0,37.0,2297.297297297297,800.0,0,42,1
251,1471,apartment,Almagro,Capital Federal,"-34.6000111497,-58.4274237455",81200.0,81200.0,35.0,32.0,2537.5,,0,11,1
252,1472,apartment,Balvanera,Capital Federal,"-34.6031504762,-58.3945384995",148000.0,148000.0,80.0,80.0,1850.0,,0,8,1
253,1482,store,Saavedra,Capital Federal,"-34.5550739,-58.4877475",230000.0,230000.0,105.0,105.0,2190.4761904761904,,0,24,3
254,1489,apartment,Las Cañitas,Capital Federal,"-34.5679842,-58.4337564",138300.0,138300.0,33.0,30.0,4610.0,1100.0,0,6,1
255,1512,house,Capital Federal,Capital Federal,,1100000.0,1100000.0,1743.0,389.0,2827.763496143959,,0,12,2
256,1514,apartment,Capital Federal,Capital Federal,,460000.0,460000.0,222.0,150.0,3066.666666666666,,0,12,1
257,1520,PH,Monte Castro,Capital Federal,"-34.6192169,-58.5098457",235000.0,235000.0,118.0,73.0,3219.178082191781,,0,38,0
258,1529,house,Villa Pueyrredón,Capital Federal,"-34.5795711,-58.5048941",250000.0,250000.0,150.0,110.0,2272.7272727272725,,0,27,2
259,1532,apartment,San Cristobal,Capital Federal,"-34.618949,-58.3944713",80000.0,80000.0,50.0,50.0,1600.0,1000.0,0,34,1
260,1533,apartment,Barrio Norte,Capital Federal,"-34.6057005,-58.3779666",120000.0,120000.0,42.0,42.0,2857.142857142857,2200.0,0,22,1
261,1615,apartment,Recoleta,Capital Federal,"-34.590518,-58.388665",176000.0,176000.0,42.0,37.0,4756.756756756758,,0,15,1
262,1616,apartment,Recoleta,Capital Federal,"-34.590518,-58.388665",227000.0,227000.0,66.0,32.0,7093.75,,0,15,1
