property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses
apartment,Las Ca�itas,Capital Federal,"-34.56622,-58.4393563",187000.0,187000.0,75.0,75.0,2493.333333333333,
apartment,Puerto Madero,Capital Federal,"-34.6134943,-58.3631489",650000.0,650000.0,124.0,124.0,5241.935483870968,
apartment,Palermo Chico,Capital Federal,"-34.5711496,-58.4232966",265000.0,265000.0,55.0,51.0,5196.078431372549,
apartment,Floresta,Capital Federal,"-34.6333928032,-58.4764530651",69000.0,69000.0,34.0,31.0,2225.8064516129034,
apartment,Villa Crespo,Capital Federal,"-34.5968195,-58.4301256",124000.0,124000.0,45.0,45.0,2755.555555555556,
apartment,San Telmo,Capital Federal,"-34.6113922,-58.373383",170000.0,170000.0,54.0,50.0,3400.0,
apartment,Belgrano,Capital Federal,"-34.5711518376,-58.4347782312",130000.0,130000.0,42.0,40.0,3250.0,
apartment,Barracas,Capital Federal,"-34.6355858169,-58.3710434291",138020.0,138020.0,60.0,50.0,2760.4,
apartment,Belgrano,Capital Federal,"-34.5528283394,-58.4562092821",96000.0,96000.0,33.0,31.0,3096.7741935483873,
apartment,Barrio Norte,Capital Federal,"-34.5839031,-58.4145491",330000.0,330000.0,118.0,114.0,2894.7368421052643,
apartment,Barrio Norte,Capital Federal,"-34.5986604,-58.3963612",67000.0,67000.0,28.0,23.0,2913.043478260869,
apartment,Recoleta,Capital Federal,"-34.5895459,-58.3973636",530000.0,530000.0,135.0,125.0,4240.0,
apartment,Belgrano,Capital Federal,"-34.553283951,-58.451579474",170000.0,170000.0,47.0,47.0,3617.0212765957453,
house,Capital Federal,Capital Federal,,495000.0,495000.0,1003.0,375.0,1320.0,
apartment,Belgrano,Capital Federal,"-34.5653361,-58.450373",520000.0,520000.0,175.0,149.0,3489.93288590604,7200.0
apartment,Colegiales,Capital Federal,"-34.5887407,-58.4487441",150000.0,150000.0,53.0,50.0,3000.0,
apartment,Centro / Microcentro,Capital Federal,"-34.6034439,-58.4050088",169000.0,169000.0,94.0,90.0,1877.7777777777771,
apartment,Colegiales,Capital Federal,"-34.5786841,-58.4678159",85000.0,85000.0,33.0,33.0,2575.757575757576,
